Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati,Immunizzati
Gallodoro,83031,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,118,98,96
Giardini-Naxos,83032,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,5732,3172,2772
Giardini-Naxos,83032,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2645,1949,1868
Gioiosa Marea,83033,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4112,2578,2194
Gioiosa Marea,83033,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2130,1646,1523
Graniti,83034,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,868,517,449
Graniti,83034,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,439,358,344
Gualtieri Sicaminò,83035,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,918,549,496
Gualtieri Sicaminò,83035,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,553,427,404
Itala,83036,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,921,430,369
Itala,83036,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,449,311,294
Leni,83037,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,403,249,223
Leni,83037,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,217,154,143
Letojanni,83038,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1686,1112,986
Letojanni,83038,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,769,634,606
Librizzi,83039,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,898,558,460
Librizzi,83039,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,574,452,419
Limina,83040,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,369,312,297
Limina,83040,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,312,256,249
Lipari,83041,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,7815,4667,4194
Lipari,83041,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,3361,2447,2308
Longi,83042,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,846,627,574
Longi,83042,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,401,357,342
Malfa,83043,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,633,414,376
Malfa,83043,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,241,190,178
Malvagna,83044,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,380,292,275
Malvagna,83044,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,229,196,188
Mandanici,83045,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,293,187,175
Mandanici,83045,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,218,176,166
Mazzarrà Sant'Andrea,83046,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,819,509,456
Mazzarrà Sant'Andrea,83046,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,457,364,354
Merì,83047,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1500,896,768
Merì,83047,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,542,442,406
Messina,83048,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,137268,82916,74263
Messina,83048,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,66617,52382,50120
Milazzo,83049,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,18140,11815,10494
Milazzo,83049,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,9085,7263,6964
Militello Rosmarino,83050,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,694,484,436
Militello Rosmarino,83050,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,427,364,335
Mirto,83051,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,523,413,378
Mirto,83051,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,317,291,286
Mistretta,83052,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2694,2237,2123
Mistretta,83052,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1429,1284,1258
Moio Alcantara,83053,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,401,288,273
Moio Alcantara,83053,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,228,202,197
Monforte San Giorgio,83054,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1523,921,838
Monforte San Giorgio,83054,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,848,660,637
Mongiuffi Melia,83055,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,325,235,220
Mongiuffi Melia,83055,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,188,151,142
Montagnareale,83056,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,864,542,478
Montagnareale,83056,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,460,359,334
Montalbano Elicona,83057,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1152,699,580
Montalbano Elicona,83057,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,763,659,629
Motta Camastra,83058,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,435,303,280
Motta Camastra,83058,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,283,221,210
Motta d'Affermo,83059,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,364,274,263
Motta d'Affermo,83059,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,269,252,246
Naso,83060,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2032,1344,1103
Naso,83060,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1258,1073,1023
Nizza di Sicilia,83061,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2190,1207,1037
Nizza di Sicilia,83061,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1045,781,756
Novara di Sicilia,83062,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,640,411,356
Novara di Sicilia,83062,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,480,351,333
Oliveri,83063,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1168,714,575
Oliveri,83063,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,720,591,538
Pace del Mela,83064,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,3864,2203,1936
Pace del Mela,83064,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1635,1238,1191
Pagliara,83065,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,668,351,322
Pagliara,83065,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,342,265,259
Patti,83066,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,7770,5195,4493
Patti,83066,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,3829,3124,2956
Pettineo,83067,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,752,547,531
Pettineo,83067,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,409,332,322
Piraino,83068,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2354,1779,1589
Piraino,83068,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1104,985,946
Raccuja,83069,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,516,417,382
Raccuja,83069,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,333,287,272
Reitano,83070,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,396,297,275
Reitano,83070,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,262,227,221
Roccafiorita,83071,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,112,122,119
Roccafiorita,83071,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,60,67,67
Roccalumera,83072,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2359,1368,1206
Roccalumera,83072,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1248,1051,1012
Roccavaldina,83073,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,603,378,338
Roccavaldina,83073,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,328,273,258
Roccella Valdemone,83074,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,329,232,201
Roccella Valdemone,83074,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,212,198,190
Rodì Milici,83075,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1180,786,699
Rodì Milici,83075,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,632,521,499
Rometta,83076,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,3972,2313,1994
Rometta,83076,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1874,1438,1382
San Filippo del Mela,83077,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4219,2406,2103
San Filippo del Mela,83077,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1828,1393,1324
San Fratello,83078,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2090,1457,1268
San Fratello,83078,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1015,805,742
San Marco d'Alunzio,83079,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1103,940,894
San Marco d'Alunzio,83079,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,562,560,546
San Pier Niceto,83080,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1521,1212,991
San Pier Niceto,83080,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,907,848,794
San Piero Patti,83081,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1542,1065,863
San Piero Patti,83081,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,920,773,719
San Salvatore di Fitalia,83082,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,632,479,455
San Salvatore di Fitalia,83082,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,451,408,401
San Teodoro,83090,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,760,518,468
San Teodoro,83090,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,404,312,290
Sant'Agata di Militello,83084,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,7516,5417,4850
Sant'Agata di Militello,83084,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,3689,3122,3002
Sant'Alessio Siculo,83085,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,899,529,474
Sant'Alessio Siculo,83085,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,456,327,311
Sant'Angelo di Brolo,83088,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1632,1125,943
Sant'Angelo di Brolo,83088,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1010,857,789
Santa Domenica Vittoria,83083,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,567,422,377
Santa Domenica Vittoria,83083,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,245,232,223
Santa Lucia del Mela,83086,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2752,1638,1372
Santa Lucia del Mela,83086,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1294,1048,1010
Santa Marina Salina,83087,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,518,357,339
Santa Marina Salina,83087,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,265,182,175
Santa Teresa di Riva,83089,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,5760,3296,2818
Santa Teresa di Riva,83089,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,2785,2069,1952
Santo Stefano di Camastra,83091,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2701,1785,1579
Santo Stefano di Camastra,83091,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1372,1151,1092
Saponara,83092,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2260,1366,1204
Saponara,83092,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1162,948,912
Savoca,83093,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1067,575,468
Savoca,83093,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,445,311,288
Scaletta Zanclea,83094,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1125,566,456
Scaletta Zanclea,83094,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,648,456,417
Sinagra,83095,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,1553,1105,878
Sinagra,83095,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,772,615,556
Spadafora,83096,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2888,1755,1538
Spadafora,83096,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1498,1158,1110
Taormina,83097,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,6474,3942,3536
Taormina,83097,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,3116,2265,2161
Terme Vigliatore,83106,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4475,2956,2628
Terme Vigliatore,83106,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1915,1635,1584
Torregrotta,83098,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,4565,2995,2599
Torregrotta,83098,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,>60,1904,1633,1560
Torrenova,83108,Messina,2020-12-27T00:00:00,2021-09-15T00:00:00,12-60,2918,1944,1750
