Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati,Immunizzati
Giardini-Naxos,83032,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2645,1983,1910
Gioiosa Marea,83033,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,4112,2728,2508
Gioiosa Marea,83033,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,2130,1695,1621
Graniti,83034,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,868,571,506
Graniti,83034,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,439,372,356
Gualtieri Sicaminò,83035,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,918,575,528
Gualtieri Sicaminò,83035,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,553,435,416
Itala,83036,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,921,453,421
Itala,83036,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,449,314,306
Leni,83037,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,403,256,238
Leni,83037,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,217,155,144
Letojanni,83038,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,1686,1180,1074
Letojanni,83038,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,769,642,618
Librizzi,83039,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,898,619,537
Librizzi,83039,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,574,482,445
Limina,83040,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,369,314,305
Limina,83040,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,312,259,250
Lipari,83041,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,7815,4913,4450
Lipari,83041,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,3361,2490,2386
Longi,83042,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,12-60,846,647,613
Longi,83042,Messina,2020-12-27T00:00:00,2021-10-06T00:00:00,>60,401,362,353
