denominazione_comune,terapia_intensiva,malattie_infettive,positivi_quarantena_domiciliare,ricoverati_altrove,guariti_clinicamente,guariti_da_covid,deceduti_in_provincia,deceduti_fuori_provincia,data
Caltanissetta,,6,46,1,,2581,44,1,2021-07-13
Campofranco,,,,,,46,2,,2021-07-13
Delia,,,2,,,76,2,,2021-07-13
Gela,,6,208,,,4078,77,,2021-07-13
Marianopoli,,,,,,72,3,,2021-07-13
Mazzarino,,7,130,1,,441,3,,2021-07-13
Milena,,,,,,154,6,,2021-07-13
Montedoro,,,,,,84,3,,2021-07-13
Mussomeli,,,,,,329,4,1,2021-07-13
Niscemi,,,9,,,1454,26,,2021-07-13
Resuttano,,1,,,,82,,,2021-07-13
Riesi,,,48,1,,503,7,,2021-07-13
San Cataldo,,,60,,,821,15,,2021-07-13
Santa Caterina Villarmosa,,2,5,,,185,1,,2021-07-13
Serradifalco,,,4,,,260,4,,2021-07-13
Sommatino,,,2,,,127,3,,2021-07-13
Sutera,,,,,,4,,,2021-07-13
Vallelunga Pratameno,,,21,,,49,,,2021-07-13
Villalba,,,,,,51,,,2021-07-13
altreProvince,,2,,2,14,55,29,,2021-07-13
Acquaviva Platani,,,,,,42.0,,,2021-07-14
Bompensiere,,,1.0,,,33.0,1.0,,2021-07-14
Butera,,,3.0,,,101.0,,,2021-07-14
Caltanissetta,,7.0,50.0,1.0,,2584.0,44.0,1.0,2021-07-14
Campofranco,,,,,,46.0,2.0,,2021-07-14
Delia,,,2.0,,,76.0,2.0,,2021-07-14
Gela,,7.0,262.0,,,4080.0,77.0,,2021-07-14
Marianopoli,,,,,,72.0,3.0,,2021-07-14
Mazzarino,,7.0,132.0,1.0,,441.0,3.0,,2021-07-14
Milena,,,,,,154.0,6.0,,2021-07-14
Montedoro,,,,,,84.0,3.0,,2021-07-14
Mussomeli,,,1.0,,,329.0,4.0,1.0,2021-07-14
Niscemi,,,10.0,,,1454.0,26.0,,2021-07-14
Resuttano,,1.0,,,,82.0,,,2021-07-14
Riesi,,,48.0,1.0,,503.0,7.0,,2021-07-14
San Cataldo,,,56.0,,,825.0,15.0,,2021-07-14
Santa Caterina Villarmosa,,1.0,5.0,,,186.0,1.0,,2021-07-14
Serradifalco,,,6.0,,,261.0,4.0,,2021-07-14
Sommatino,,,2.0,,,127.0,3.0,,2021-07-14
Sutera,,,,,,4.0,,,2021-07-14
Vallelunga Pratameno,,,26.0,,,50.0,,,2021-07-14
Villalba,,,,,,51.0,,,2021-07-14
altreProvince,,1.0,,2.0,14.0,56.0,29.0,,2021-07-14
Acquaviva Platani,,,,,,42,,,2021-07-15
Bompensiere,,,1,,,33,1,,2021-07-15
Butera,,,5,,,101,,,2021-07-15
Caltanissetta,,8,53,1,,2584,44,1,2021-07-15
Campofranco,,,,,,46,2,,2021-07-15
Delia,,,2,,,76,2,,2021-07-15
Gela,,7,306,,,4083,78,,2021-07-15
Marianopoli,,,,,,72,3,,2021-07-15
Mazzarino,,8,131,1,,441,3,,2021-07-15
Milena,,,,,,154,6,,2021-07-15
Montedoro,,,,,,84,3,,2021-07-15
Mussomeli,,,1,,,329,4,1,2021-07-15
Niscemi,,,10,,,1455,26,,2021-07-15
Resuttano,,1,,,,82,,,2021-07-15
Riesi,,,67,1,,503,7,,2021-07-15
San Cataldo,,,53,,,828,15,,2021-07-15
Santa Caterina Villarmosa,,1,5,,,186,1,,2021-07-15
Serradifalco,,,6,,,261,4,,2021-07-15
Sommatino,,,2,,,128,3,,2021-07-15
Sutera,,,,,,4,,,2021-07-15
Vallelunga Pratameno,,,26,,,50,,,2021-07-15
Villalba,,,,,,51,,,2021-07-15
altreProvince,,1,,2,14,56,29,,2021-07-15
Acquaviva Platani,,,,,,42,,,2021-07-16
Bompensiere,,,1,,,33,1,,2021-07-16
Butera,,,5,,,101,,,2021-07-16
Caltanissetta,,8,56,1,,2585,44,1,2021-07-16
Campofranco,,,,,,46,2,,2021-07-16
Delia,,,2,,,76,2,,2021-07-16
Gela,,6,335,,,4087,78,,2021-07-16
Marianopoli,,,,,,72,3,,2021-07-16
Mazzarino,,8,130,1,,442,3,,2021-07-16
Milena,,,,,,154,6,,2021-07-16
Montedoro,,,,,,84,3,,2021-07-16
Mussomeli,,,1,,,329,4,1,2021-07-16
Niscemi,,,10,,,1455,26,,2021-07-16
Resuttano,,1,,,,82,,,2021-07-16
Riesi,,1,66,1,,503,7,,2021-07-16
San Cataldo,,,54,,,828,15,,2021-07-16
Santa Caterina Villarmosa,,1,5,,,187,1,,2021-07-16
Serradifalco,,,6,,,261,4,,2021-07-16
Sommatino,,,2,,,128,3,,2021-07-16
Sutera,,,,,,4,,,2021-07-16
Vallelunga Pratameno,,,26,,,50,,,2021-07-16
Villalba,,,,,,51,,,2021-07-16
altreProvince,,1,,,,56,29,,2021-07-16
Acquaviva Platani,,,,,,42.0,,,2021-07-17
Bompensiere,,,1.0,,,33.0,1.0,,2021-07-17
Butera,,,5.0,,,101.0,,,2021-07-17
Caltanissetta,,7.0,60.0,1.0,,2587.0,44.0,1.0,2021-07-17
Campofranco,,,,,,46.0,2.0,,2021-07-17
Delia,,,2.0,,,76.0,2.0,,2021-07-17
Gela,,6.0,380.0,,,4089.0,78.0,,2021-07-17
Marianopoli,,,,,,72.0,3.0,,2021-07-17
Mazzarino,,9.0,144.0,1.0,,449.0,3.0,,2021-07-17
Milena,,,,,,154.0,6.0,,2021-07-17
Montedoro,,,,,,84.0,3.0,,2021-07-17
Mussomeli,,,1.0,,,329.0,4.0,1.0,2021-07-17
Niscemi,,,13.0,,,1455.0,26.0,,2021-07-17
Resuttano,,1.0,,,,82.0,,,2021-07-17
Riesi,,1.0,66.0,1.0,,503.0,7.0,,2021-07-17
San Cataldo,,,47.0,,,836.0,15.0,,2021-07-17
Santa Caterina Villarmosa,,1.0,3.0,,,189.0,1.0,,2021-07-17
Serradifalco,,,6.0,,,261.0,4.0,,2021-07-17
Sommatino,,,2.0,,,128.0,3.0,,2021-07-17
Sutera,,,,,,4.0,,,2021-07-17
Vallelunga Pratameno,,,26.0,,,50.0,,,2021-07-17
Villalba,,,,,,51.0,,,2021-07-17
altreProvince,,1.0,,,,56.0,29.0,,2021-07-17
Acquaviva Platani,,,,,,42,,,2021-07-18
Bompensiere,,,1,,,33,1,,2021-07-18
Butera,,,8,,,101,,,2021-07-18
Caltanissetta,,7,62,,,2591,44,1,2021-07-18
Campofranco,,,,,,46,2,,2021-07-18
Delia,,,2,,,76,2,,2021-07-18
Gela,,6,438,,,4097,78,,2021-07-18
Marianopoli,,,,,,72,3,,2021-07-18
Mazzarino,,10,174,1,,454,3,,2021-07-18
Milena,,,,,,154,6,,2021-07-18
Montedoro,,,,,,84,3,,2021-07-18
Mussomeli,,,1,,,329,4,1,2021-07-18
Niscemi,,,14,,,1455,26,,2021-07-18
Resuttano,,1,,,,82,,,2021-07-18
Riesi,,1,83,,,504,7,,2021-07-18
San Cataldo,,,45,,,841,15,,2021-07-18
Santa Caterina Villarmosa,,1,3,,,189,1,,2021-07-18
Serradifalco,,,6,,,261,4,,2021-07-18
Sommatino,,,2,,,128,3,,2021-07-18
Sutera,,,,,,4,,,2021-07-18
Vallelunga Pratameno,,,25,,,51,,,2021-07-18
Villalba,,,,,,51,,,2021-07-18
altreProvince,,1,,,,56,29,,2021-07-18
Acquaviva Platani,,,,,,42.0,,,2021-07-19
Bompensiere,,,,,,34.0,1.0,,2021-07-19
Butera,,,8.0,,,101.0,,,2021-07-19
Caltanissetta,,6.0,56.0,,,2600.0,44.0,1.0,2021-07-19
Campofranco,,,,,,46.0,2.0,,2021-07-19
Delia,,,2.0,,,76.0,2.0,,2021-07-19
Gela,,6.0,512.0,,,4101.0,78.0,,2021-07-19
Marianopoli,,,,,,72.0,3.0,,2021-07-19
Mazzarino,,10.0,174.0,1.0,,454.0,3.0,,2021-07-19
Milena,,,,,,154.0,6.0,,2021-07-19
Montedoro,,,,,,84.0,3.0,,2021-07-19
Mussomeli,,,1.0,,,329.0,4.0,1.0,2021-07-19
Niscemi,,1.0,17.0,,,1456.0,26.0,,2021-07-19
Resuttano,,1.0,,,,82.0,,,2021-07-19
Riesi,,1.0,83.0,,,504.0,7.0,,2021-07-19
San Cataldo,,,34.0,,,853.0,15.0,,2021-07-19
Santa Caterina Villarmosa,,1.0,3.0,,,189.0,1.0,,2021-07-19
Serradifalco,,,5.0,,,262.0,4.0,,2021-07-19
Sommatino,,,2.0,,,128.0,3.0,,2021-07-19
Sutera,,,,,,4.0,,,2021-07-19
Vallelunga Pratameno,,,25.0,,,51.0,,,2021-07-19
Villalba,,,,,,51.0,,,2021-07-19
altreProvince,,1.0,,,,56.0,29.0,,2021-07-19
Acquaviva Platani,,,,,,42,,,2021-07-20
Bompensiere,,,,,,34,1,,2021-07-20
Butera,,,8,,,101,,,2021-07-20
Caltanissetta,,5,55,,,2606,44,1,2021-07-20
Campofranco,,,,,,46,2,,2021-07-20
Delia,,,2,,,76,2,,2021-07-20
Gela,,7,560,,,4101,78,,2021-07-20
Marianopoli,,,,,,72,3,,2021-07-20
Mazzarino,,11,207,1,,454,3,,2021-07-20
Milena,,,,,,154,6,,2021-07-20
Montedoro,,,,,,84,3,,2021-07-20
Mussomeli,,,2,,,329,4,1,2021-07-20
Niscemi,,1,17,,,1456,26,,2021-07-20
Resuttano,,1,,,,82,,,2021-07-20
Riesi,,1,93,,,510,7,,2021-07-20
San Cataldo,,,32,,,856,15,,2021-07-20
Santa Caterina Villarmosa,,1,3,,,189,1,,2021-07-20
Serradifalco,,,5,,,262,4,,2021-07-20
Sommatino,,,2,,,128,3,,2021-07-20
Sutera,,,,,,4,,,2021-07-20
Vallelunga Pratameno,,,22,,,55,,,2021-07-20
Villalba,,,,,,51,,,2021-07-20
altreProvince,,1,,,,56,29,,2021-07-20
Acquaviva Platani,,,,,,42,,,2021-07-21
Bompensiere,,,,,,34,1,,2021-07-21
Butera,,,8,,,101,,,2021-07-21
Caltanissetta,,4,55,,,2609,44,1,2021-07-21
Campofranco,,,,,,46,2,,2021-07-21
Delia,,,2,,,76,2,,2021-07-21
Gela,,7,610,,,4117,78,,2021-07-21
Marianopoli,,,,,,72,3,,2021-07-21
Mazzarino,,10,212,1,,454,3,,2021-07-21
Milena,,,,,,154,6,,2021-07-21
Montedoro,,,,,,84,3,,2021-07-21
Mussomeli,,,2,,,329,4,1,2021-07-21
Niscemi,,1,16,,,1458,26,,2021-07-21
Resuttano,,,,,,83,,,2021-07-21
Riesi,,1,95,,,510,7,,2021-07-21
San Cataldo,,,31,,,857,15,,2021-07-21
Santa Caterina Villarmosa,,,1,,,192,1,,2021-07-21
Serradifalco,,,5,,,262,4,,2021-07-21
Sommatino,,,2,,,129,3,,2021-07-21
Sutera,,,1,,,4,,,2021-07-21
Vallelunga Pratameno,,,19,,,58,,,2021-07-21
Villalba,,,,,,51,,,2021-07-21
altreProvince,,,,,,56,29,,2021-07-21
Acquaviva Platani,,,,,,42,,,2021-07-23
Bompensiere,,,,,,34,1,,2021-07-23
Butera,,,8,,,101,,,2021-07-23
Caltanissetta,,3,60,,,2613,44,1,2021-07-23
Campofranco,,,,,,46,2,,2021-07-23
Delia,,,1,,,77,2,,2021-07-23
Gela,,10,675,,,4135,78,,2021-07-23
Marianopoli,,,,,,72,3,,2021-07-23
Mazzarino,,15,241,1,,478,3,,2021-07-23
Milena,,,,,,154,6,,2021-07-23
Montedoro,,,,,,84,3,,2021-07-23
Mussomeli,,,2,,,329,4,1,2021-07-23
Niscemi,,1,21,,,1458,26,,2021-07-23
Resuttano,,,,,,83,,,2021-07-23
Riesi,,2,131,,,510,7,,2021-07-23
San Cataldo,,,14,,,874,15,,2021-07-23
Santa Caterina Villarmosa,,,1,,,192,1,,2021-07-23
Serradifalco,,,6,,,265,4,,2021-07-23
Sommatino,,,2,,,129,3,,2021-07-23
Sutera,,,1,,,4,,,2021-07-23
Vallelunga Pratameno,,,17,,,60,,,2021-07-23
Villalba,,,,,,51,,,2021-07-23
altreProvince,,1,,,,56,29,,2021-07-23
Acquaviva Platani,,,,,,42,,,2021-07-24
Bompensiere,,,,,,34,1,,2021-07-24
Butera,,,8,,,101,,,2021-07-24
Caltanissetta,,3,60,,,2614,44,1,2021-07-24
Campofranco,,,,,,46,2,,2021-07-24
Delia,,,1,,,77,2,,2021-07-24
Gela,,11,752,,,4143,78,,2021-07-24
Marianopoli,,,,,,72,3,,2021-07-24
Mazzarino,,16,237,1,,484,3,,2021-07-24
Milena,,,,,,154,6,,2021-07-24
Montedoro,,,,,,84,3,,2021-07-24
Mussomeli,,,2,,,329,4,1,2021-07-24
Niscemi,,1,26,,,1458,26,,2021-07-24
Resuttano,,,,,,83,,,2021-07-24
Riesi,,2,146,,,513,7,,2021-07-24
San Cataldo,,,14,,,874,15,,2021-07-24
Santa Caterina Villarmosa,,,1,,,192,1,,2021-07-24
Serradifalco,,,7,,,265,4,,2021-07-24
Sommatino,,,2,,,129,3,,2021-07-24
Sutera,,,1,,,4,,,2021-07-24
Vallelunga Pratameno,,,17,,,60,,,2021-07-24
Villalba,,,,,,51,,,2021-07-24
altreProvince,,1,,,,56,29,,2021-07-24
Acquaviva Platani,,,,,,42,,,2021-07-25
Bompensiere,,,,,,34,1,,2021-07-25
Butera,,,8,,,101,,,2021-07-25
Caltanissetta,,3,54,,,2620,44,1,2021-07-25
Campofranco,,,,,,46,2,,2021-07-25
Delia,,,1,,,77,2,,2021-07-25
Gela,,11,850,,,4162,78,,2021-07-25
Marianopoli,,,,,,72,3,,2021-07-25
Mazzarino,,16,230,1,,494,3,,2021-07-25
Milena,,,,,,154,6,,2021-07-25
Montedoro,,,,,,84,3,,2021-07-25
Mussomeli,,,2,,,329,4,1,2021-07-25
Niscemi,,1,42,,,1459,26,,2021-07-25
Resuttano,,,,,,83,,,2021-07-25
Riesi,,3,146,,,514,7,,2021-07-25
San Cataldo,,,17,,,876,15,,2021-07-25
Santa Caterina Villarmosa,,,1,,,192,1,,2021-07-25
Serradifalco,,,8,,,265,4,,2021-07-25
Sommatino,,,3,,,129,3,,2021-07-25
Sutera,,,1,,,4,,,2021-07-25
Vallelunga Pratameno,,,17,,,60,,,2021-07-25
Villalba,,,,,,51,,,2021-07-25
altreProvince,,1,,,,56,29,,2021-07-25
Acquaviva Platani,,,,,,42,,,2021-07-26
Bompensiere,,,,,,34,1,,2021-07-26
Butera,,,9,,,101,,,2021-07-26
Caltanissetta,,4,43,,,2638,44,1,2021-07-26
Campofranco,,,,,,46,2,,2021-07-26
Delia,,,1,,,77,2,,2021-07-26
Gela,,11,874,,,4185,78,,2021-07-26
Marianopoli,,,,,,72,3,,2021-07-26
Mazzarino,,16,231,1,,494,3,,2021-07-26
Milena,,,,,,154,6,,2021-07-26
Montedoro,,,,,,84,3,,2021-07-26
Mussomeli,,,1,,,330,4,1,2021-07-26
Niscemi,,1,42,,,1461,26,,2021-07-26
Resuttano,,,,,,83,,,2021-07-26
Riesi,,5,145,,,514,7,,2021-07-26
San Cataldo,,,16,,,877,15,,2021-07-26
Santa Caterina Villarmosa,,,1,,,192,1,,2021-07-26
Serradifalco,,,7,,,266,4,,2021-07-26
Sommatino,,,1,,,130,3,,2021-07-26
Sutera,,,1,,,4,,,2021-07-26
Vallelunga Pratameno,,,13,,,64,,,2021-07-26
Villalba,,,,,,51,,,2021-07-26
altreProvince,,1,,,,56,29,,2021-07-26
Acquaviva Platani,,,,,,42,,,2021-07-27
Bompensiere,,,,,,34,1,,2021-07-27
Butera,,,10,,,101,,,2021-07-27
Caltanissetta,,3,44,,,2639,44,1,2021-07-27
Campofranco,,,1,,,46,2,,2021-07-27
Delia,,,8,,,77,2,,2021-07-27
Gela,,11,910,,,4198,79,,2021-07-27
Marianopoli,,,,,,72,3,,2021-07-27
Mazzarino,,16,249,1,,494,3,,2021-07-27
Milena,,,,,,154,6,,2021-07-27
Montedoro,,,,,,84,3,,2021-07-27
Mussomeli,,,1,,,330,4,1,2021-07-27
Niscemi,,1,49,,,1461,26,,2021-07-27
Resuttano,,,,,,83,,,2021-07-27
Riesi,,6,147,,,524,7,,2021-07-27
San Cataldo,,,18,,,880,15,,2021-07-27
Santa Caterina Villarmosa,,,2,,,192,1,,2021-07-27
Serradifalco,,,7,,,266,4,,2021-07-27
Sommatino,,,2,,,130,3,,2021-07-27
Sutera,,,1,,,4,,,2021-07-27
Vallelunga Pratameno,,,13,,,64,,,2021-07-27
Villalba,,,,,,51,,,2021-07-27
altreProvince,,1,,,,56,29,,2021-07-27
Acquaviva Platani,,,,,,42,,,2021-07-28
Bompensiere,,,,,,34,1,,2021-07-28
Butera,,,10,,,101,,,2021-07-28
Caltanissetta,,2,43,,,2643,44,1,2021-07-28
Campofranco,,,1,,,46,2,,2021-07-28
Delia,,,11,,,77,2,,2021-07-28
Gela,,12,942,,,4208,79,,2021-07-28
Marianopoli,,,,,,72,3,,2021-07-28
Mazzarino,,16,245,1,,498,3,,2021-07-28
Milena,,,,,,154,6,,2021-07-28
Montedoro,,,,,,84,3,,2021-07-28
Mussomeli,,,1,,,330,4,1,2021-07-28
Niscemi,,1,56,,,1462,26,,2021-07-28
Resuttano,,,,,,83,,,2021-07-28
Riesi,,6,147,,,524,7,,2021-07-28
San Cataldo,,,14,,,884,15,,2021-07-28
Santa Caterina Villarmosa,,,2,,,192,1,,2021-07-28
Serradifalco,,,7,,,266,4,,2021-07-28
Sommatino,,,5,,,130,3,,2021-07-28
Sutera,,,1,,,4,,,2021-07-28
Vallelunga Pratameno,,,11,,,66,,,2021-07-28
Villalba,,,,,,51,,,2021-07-28
altreProvince,,1,,,,56,29,,2021-07-28
Acquaviva Platani,,,,,,42,,,2021-07-29
Bompensiere,,,,,,34,1,,2021-07-29
Butera,,,7,,,105,,,2021-07-29
Caltanissetta,,2,42,,,2650,44,1,2021-07-29
Campofranco,,1,1,,,46,2,,2021-07-29
Delia,,1,10,,,77,2,,2021-07-29
Gela,,12,946,,,4248,79,,2021-07-29
Marianopoli,,,,,,72,3,,2021-07-29
Mazzarino,,14,252,1,,498,4,,2021-07-29
Milena,,,,,,154,6,,2021-07-29
Montedoro,,,,,,84,3,,2021-07-29
Mussomeli,,,7,,,330,4,1,2021-07-29
Niscemi,,1,63,,,1464,26,,2021-07-29
Resuttano,,,,,,83,,,2021-07-29
Riesi,,6,148,,,534,7,,2021-07-29
San Cataldo,,1,13,,,885,15,,2021-07-29
Santa Caterina Villarmosa,,,2,,,192,1,,2021-07-29
Serradifalco,,,7,,,266,4,,2021-07-29
Sommatino,,,5,,,130,3,,2021-07-29
Sutera,,,1,,,4,,,2021-07-29
Vallelunga Pratameno,,,12,,,66,,,2021-07-29
Villalba,,,,,,51,,,2021-07-29
altreProvince,,1,,,,56,29,,2021-07-29
Acquaviva Platani,,,,,,42,,,2021-07-30
Bompensiere,,,,,,34,1,,2021-07-30
Butera,,,7,,,105,,,2021-07-30
Caltanissetta,,1,46,,,2652,44,1,2021-07-30
Campofranco,,1,1,,,46,2,,2021-07-30
Delia,,1,12,,,77,2,,2021-07-30
Gela,,12,953,,,4279,79,,2021-07-30
Marianopoli,,,,,,72,3,,2021-07-30
Mazzarino,,14,247,1,,503,4,,2021-07-30
Milena,,,,,,154,6,,2021-07-30
Montedoro,,,,,,84,3,,2021-07-30
Mussomeli,,,7,,,330,4,1,2021-07-30
Niscemi,,1,69,,,1465,26,,2021-07-30
Resuttano,,,,,,83,,,2021-07-30
Riesi,,6,146,,,538,7,,2021-07-30
San Cataldo,,1,14,,,885,15,,2021-07-30
Santa Caterina Villarmosa,,,2,,,192,1,,2021-07-30
Serradifalco,,,7,,,266,4,,2021-07-30
Sommatino,,,14,,,130,3,,2021-07-30
Sutera,,,1,,,4,,,2021-07-30
Vallelunga Pratameno,,,9,,,69,,,2021-07-30
Villalba,,,,,,51,,,2021-07-30
altreProvince,,1,,,,56,29,,2021-07-30
Acquaviva Platani,,,,,,42.0,,,2021-07-31
Bompensiere,,,,,,34.0,1.0,,2021-07-31
Butera,,,7.0,,,105.0,,,2021-07-31
Caltanissetta,,1.0,45.0,,,2654.0,44.0,1.0,2021-07-31
Campofranco,,1.0,1.0,,,46.0,2.0,,2021-07-31
Delia,,1.0,10.0,,,80.0,2.0,,2021-07-31
Gela,,12.0,970.0,,,4295.0,79.0,,2021-07-31
Marianopoli,,,,,,72.0,3.0,,2021-07-31
Mazzarino,,14.0,251.0,1.0,,507.0,4.0,,2021-07-31
Milena,,,,,,154.0,6.0,,2021-07-31
Montedoro,,,,,,84.0,3.0,,2021-07-31
Mussomeli,,,6.0,,,331.0,4.0,1.0,2021-07-31
Niscemi,,1.0,73.0,,,1465.0,26.0,,2021-07-31
Resuttano,,,,,,83.0,,,2021-07-31
Riesi,,6.0,142.0,,,548.0,7.0,,2021-07-31
San Cataldo,,1.0,16.0,,,887.0,15.0,,2021-07-31
Santa Caterina Villarmosa,,,2.0,,,192.0,1.0,,2021-07-31
Serradifalco,,,7.0,,,266.0,4.0,,2021-07-31
Sommatino,,,14.0,,,130.0,3.0,,2021-07-31
Sutera,,,,,,5.0,,,2021-07-31
Vallelunga Pratameno,,,8.0,,,70.0,,,2021-07-31
Villalba,,,,,,51.0,,,2021-07-31
altreProvince,,1.0,,,,56.0,29.0,,2021-07-31
Acquaviva Platani,,,,,,42,,,2021-08-01
Bompensiere,,,,,,34,1,,2021-08-01
Butera,,,7,,,105,,,2021-08-01
Caltanissetta,,1,49,,,2657,44,1,2021-08-01
Campofranco,,1,1,,,46,2,,2021-08-01
Delia,,1,10,,,80,2,,2021-08-01
Gela,,10,973,,,4305,81,,2021-08-01
Marianopoli,,,,,,72,3,,2021-08-01
Mazzarino,,15,225,1,,535,4,,2021-08-01
Milena,,,,,,154,6,,2021-08-01
Montedoro,,,,,,84,3,,2021-08-01
Mussomeli,,,6,,,331,4,1,2021-08-01
Niscemi,,1,75,,,1465,26,,2021-08-01
Resuttano,,,1,,,83,,,2021-08-01
Riesi,,6,144,,,548,7,,2021-08-01
San Cataldo,,1,24,,,887,15,,2021-08-01
Santa Caterina Villarmosa,,,2,,,192,1,,2021-08-01
Serradifalco,,,6,,,267,4,,2021-08-01
Sommatino,,,14,,,130,3,,2021-08-01
Sutera,,,,,,5,,,2021-08-01
Vallelunga Pratameno,,,8,,,70,,,2021-08-01
Villalba,,,,,,51,,,2021-08-01
altreProvince,,1,,,,56,29,,2021-08-01
Acquaviva Platani,,,,,,42,,,2021-08-02
Bompensiere,,,,,,34,1,,2021-08-02
Butera,,,7,,,105,,,2021-08-02
Caltanissetta,,2,52,,,2657,44,1,2021-08-02
Campofranco,,1,1,,,46,2,,2021-08-02
Delia,,1,11,,,80,2,,2021-08-02
Gela,,11,981,,,4346,81,,2021-08-02
Marianopoli,,,,,,72,3,,2021-08-02
Mazzarino,,12,226,1,,538,4,,2021-08-02
Milena,,,1,,,154,6,,2021-08-02
Montedoro,,,,,,84,3,,2021-08-02
Mussomeli,,,8,,,331,4,1,2021-08-02
Niscemi,,1,76,,,1465,26,,2021-08-02
Resuttano,,,1,,,83,,,2021-08-02
Riesi,,7,139,,,552,7,,2021-08-02
San Cataldo,,1,24,,,887,15,,2021-08-02
Santa Caterina Villarmosa,,,2,,,192,1,,2021-08-02
Serradifalco,,,5,,,268,4,,2021-08-02
Sommatino,,,19,,,130,3,,2021-08-02
Sutera,,,,,,5,,,2021-08-02
Vallelunga Pratameno,,,8,,,70,,,2021-08-02
Villalba,,,,,,51,,,2021-08-02
altreProvince,,1,,,,56,29,,2021-08-02
Acquaviva Platani,,,,,,42,,,2021-08-03
Bompensiere,,,,,,34,1,,2021-08-03
Butera,,,5,,,107,,,2021-08-03
Caltanissetta,,2,60,,,2659,44,1,2021-08-03
Campofranco,,1,1,,,46,2,,2021-08-03
Delia,,1,11,,,80,2,,2021-08-03
Gela,,11,966,,,4398,81,,2021-08-03
Marianopoli,,,,,,72,3,,2021-08-03
Mazzarino,,12,180,1,,593,4,,2021-08-03
Milena,,,1,,,154,6,,2021-08-03
Montedoro,,,,,,84,3,,2021-08-03
Mussomeli,,,8,,,331,4,1,2021-08-03
Niscemi,,1,91,,,1465,26,,2021-08-03
Resuttano,,,1,,,83,,,2021-08-03
Riesi,,7,122,,,570,7,,2021-08-03
San Cataldo,,1,24,,,887,15,,2021-08-03
Santa Caterina Villarmosa,,,7,,,193,1,,2021-08-03
Serradifalco,,,6,,,268,4,,2021-08-03
Sommatino,,,19,,,130,3,,2021-08-03
Sutera,,,,,,5,,,2021-08-03
Vallelunga Pratameno,,,6,,,72,,,2021-08-03
Villalba,,,,,,51,,,2021-08-03
altreProvince,,1,,,,56,29,,2021-08-03
Acquaviva Platani,,,,,,42.0,,,2021-08-04
Bompensiere,,,,,,34.0,1.0,,2021-08-04
Butera,,,5.0,,,107.0,,,2021-08-04
Caltanissetta,,2.0,67.0,,,2662.0,44.0,1.0,2021-08-04
Campofranco,,1.0,1.0,,,46.0,2.0,,2021-08-04
Delia,,1.0,11.0,,,80.0,2.0,,2021-08-04
Gela,,10.0,937.0,,,4455.0,81.0,,2021-08-04
Marianopoli,,,,,,72.0,3.0,,2021-08-04
Mazzarino,,12.0,166.0,1.0,,616.0,5.0,,2021-08-04
Milena,,,1.0,,,154.0,6.0,,2021-08-04
Montedoro,,,,,,84.0,3.0,,2021-08-04
Mussomeli,,,8.0,,,331.0,4.0,1.0,2021-08-04
Niscemi,,1.0,115.0,,,1466.0,26.0,,2021-08-04
Resuttano,,,2.0,,,83.0,,,2021-08-04
Riesi,,7.0,120.0,,,572.0,7.0,,2021-08-04
San Cataldo,,1.0,24.0,,,887.0,15.0,,2021-08-04
Santa Caterina Villarmosa,,,8.0,,,193.0,1.0,,2021-08-04
Serradifalco,,,5.0,,,269.0,4.0,,2021-08-04
Sommatino,,,19.0,,,130.0,3.0,,2021-08-04
Sutera,,,,,,5.0,,,2021-08-04
Vallelunga Pratameno,,,5.0,,,74.0,,,2021-08-04
Villalba,,,,,,51.0,,,2021-08-04
altreProvince,,2.0,,,,56.0,29.0,,2021-08-04
Acquaviva Platani,,,,,,42,,,2021-08-06
Bompensiere,,,,,,34,1,,2021-08-06
Butera,,,5,,,107,,,2021-08-06
Caltanissetta,,1,73,,,2669,44,1,2021-08-06
Campofranco,,1,5,,,46,2,,2021-08-06
Delia,,2,11,,,80,2,,2021-08-06
Gela,,9,871,,,4600,83,,2021-08-06
Marianopoli,,,,,,72,3,,2021-08-06
Mazzarino,,10,160,1,,629,5,,2021-08-06
Milena,,,2,,,154,6,,2021-08-06
Montedoro,,1,,,,84,3,,2021-08-06
Mussomeli,,1,8,,,331,4,1,2021-08-06
Niscemi,,1,151,,,1482,26,,2021-08-06
Resuttano,,,2,,,83,,,2021-08-06
Riesi,,7,98,,,595,7,,2021-08-06
San Cataldo,,2,21,,,891,15,,2021-08-06
Santa Caterina Villarmosa,,,14,,,194,1,,2021-08-06
Serradifalco,,,9,,,269,4,,2021-08-06
Sommatino,,,25,,,130,3,,2021-08-06
Sutera,,,,,,5,,,2021-08-06
Vallelunga Pratameno,,,3,,,76,,,2021-08-06
Villalba,,,,,,51,,,2021-08-06
altreProvince,,2,,,,56,29,,2021-08-06
Acquaviva Platani,,,,,,42,,,2021-08-09
Bompensiere,,,,,,34,1,,2021-08-09
Butera,,,3,,,109,,,2021-08-09
Caltanissetta,,2,88,,,2679,44,1,2021-08-09
Campofranco,,,15,,,47,2,,2021-08-09
Delia,,1,14,,,80,2,,2021-08-09
Gela,,7,822,,,4762,83,,2021-08-09
Marianopoli,,,,,,72,3,,2021-08-09
Mazzarino,,9,129,1,,667,5,,2021-08-09
Milena,,,2,,,154,6,,2021-08-09
Montedoro,,1,,,,84,3,,2021-08-09
